시도,시군구,구분,총합계,단독주거시설,공동주거시설,공업시설,상업업무시설,혼합지역,문화체육휴양시설,공항,항만,철도,도로,기타교통통신시설,환경기초시설,교육행정시설,기타공공시설,경지정리가 된 논,경지정리가 안 된 논,경지정리가 된 밭,경지정리가 안 된 밭,시설재배지,과수원,목장양식장,기타재배지,활엽수림,침엽수림,혼효림,자연초지,골프장,묘지,기타초지,내륙습지,갯벌,염전,해변,강기슭,암벽바위,채광지역,운동장,기타나지,하천,호소,해양수
경상남도,하동군,  비율(%)  ,1.0,0.004737144368095126,9.021890291982403e-05,0.0007360200295133488,0.0023810788908319907,0.0,0.00041706297085243295,0.0,0.0001754640284495852,0.00043067998942737234,0.03602335001167148,2.071105137725309e-06,2.189448306234869e-05,0.00018206580530231723,0.002555573589618654,0.036965799481021064,0.015256513043294586,0.01724427408413704,0.044072946530636856,0.011253954647980029,0.013884663662656008,0.00121214650718397,0.00011875896683557857,0.3347338301513489,0.2553626165062063,0.04686018880204034,0.001099427131398814,0.00011587262877904185,0.005865148632877561,0.10679890277327087,0.008470635522542498,0.0004446261139871451,0.0,0.0002230475493622546,0.003947498450100772,0.0027669051638215913,0.00013044094441918782,0.00019161487068723696,0.024772750194839484,0.011799984542383391,0.004811685160489223,0.0038431437628178543
경상남도,산청군,  면적(㎡)  ,792109945.81,2725405.8400000003,40870.12,297414.48,1573820.25,0.0,253623.02999999997,445.58,0.0,0.0,24523758.069999997,1644.5200000000002,16510.99,123063.79000000001,1687065.33,15936787.68,10136569.88,12434323.030000001,29722862.73,6550459.16,7657060.3100000005,758232.19,358442.91000000003,290098416.74999994,213098956.37,45316660.910000004,777581.2000000001,73964.87,4471795.8,74659101.99999999,8179387.75,0.0,0.0,0.0,4574928.820000001,1851240.35,472051.18,134228.78999999998,21566835.31,9092345.08,2944090.7400000007,0.0
경상남도,산청군,  비율(%)  ,1.0,0.003440691351518179,5.15965242150909e-05,0.00037547121024451765,0.001986870961947883,0.0,0.00032018665002450994,5.625229204064045e-07,0.0,0.0,0.03096004310982658,2.0761259326422652e-06,2.084431597827762e-05,0.00015536200580609652,0.0021298373274114516,0.020119413680260354,0.012796922868623363,0.015697723650325898,0.0375236580315954,0.008269633773253026,0.00966666351117458,0.0009572309930089855,0.0004525166132505275,0.3662350388156654,0.2690269923982436,0.05721006427164584,0.0009816581701986547,9.337702473154103e-05,0.005645423117907208,0.09425345862013472,0.01032607631461549,0.0,0.0,0.0,0.005775623503024882,0.0023371002469953195,0.0005959414882959049,0.00016945727131697556,0.027227072989149344,0.011478640216671313,0.0037167703240860296,0.0
경상남도,함양군,  면적(㎡)  ,721080052.07,2570446.11,69585.48,338515.26999999996,1429154.26,0.0,251219.67000000004,157.03,0.0,0.0,21461871.569999997,2057.13,19635.770000000004,105317.37000000001,1242476.36,16473338.51,8946013.329999998,11720121.709999999,32203561.02,2133470.15,8343523.33,746616.76,73090.68000000001,250293114.02,190648498.94,70711043.60000001,417326.8,324486.26,4510369.4399999995,69845143.24,6017872.279999999,0.0,0.0,0.0,2673920.9,2304771.66,452000.37,90047.22,9944629.01,2936764.21,1779892.6100000003,0.0
경상남도,함양군,  비율(%)  ,1.0,0.0035647167088051265,9.650174041043208e-05,0.00046945587945225535,0.001981963383812013,0.0,0.0003483935927485794,2.1777055064720616e-07,0.0,0.0,0.029763507544536192,2.8528455253957028e-06,2.7231054227102413e-05,0.0001460550318895469,0.0017230768711923605,0.022845367116605276,0.012406408004657365,0.016253565296051552,0.044660174591646846,0.0029587147000883747,0.011570869705864555,0.001035414525553289,0.00010136278183008813,0.3471086369696196,0.2643929732804375,0.09806268166344397,0.0005787523851228203,0.0004500003280752245,0.006255019019111831,0.09686184361846646,0.008345636885564273,0.0,0.0,0.0,0.003708216434949201,0.0031962771031922273,0.0006268379893500664,0.00012487825691683192,0.013791296793541874,0.004072729791331003,0.0024683703354301282,0.0
경상남도,거창군,  면적(㎡)  ,799637061.54,2851792.66,161878.18999999997,484165.54,1870836.58,0.0,255713.56,0.0,0.0,0.0,23906720.75,944.56,33766.66000000001,176683.05,1707450.4,21584807.770000003,11259904.0,11649579.600000001,39370061.93000001,4723910.11,15047069.280000001,1377887.65,55745.50000000001,188202361.16,244574779.89000002,110834593.62999998,898501.48,1101283.35,6304280.059999999,77563059.14000002,7103277.329999999,0.0,0.0,0.0,1553547.01,1427022.25,1353815.27,117779.19000000002,15902658.92,4039425.27,2141759.8,0.0
경상남도,거창군,  비율(%)  ,1.0,0.0035663587859569787,0.00020243957888625502,0.0006054816157064535,0.002339607141766297,0.0,0.0003197870287646848,0.0,0.0,0.0,0.02989696438526583,1.1812358949207492e-06,4.222748247182252e-05,0.0002209540534048419,0.0021352817198238235,0.026993255825874793,0.014081268292286063,0.014568583874244626,0.049234913967316926,0.00590756774192325,0.018817373535715373,0.0017231413053146415,6.971350213888438e-05,0.23535972782145193,0.3058572340543845,0.1386061239039453,0.0011236366136777097,0.0013772289992150532,0.007883926800314573,0.09699782922845442,0.008883126697904652,0.0,0.0,0.0,0.0019428151654302575,0.0017845874317677765,0.00169303717288031,0.00014729080937440816,0.01988734600341496,0.005051573350315426,0.0026784148747123365,0.0
경상남도,합천군,  면적(㎡)  ,984037717.93,3409921.9,79059.27,303541.73,1992436.7499999998,56.77,363964.75,0.0,0.0,0.0,29574455.750000004,1178.1899999999998,27450.85,115429.04,3117433.039999999,39888602.18000001,17327201.7,13208314.12,38596021.37,4060945.52,5386719.179999999,1761789.0900000003,84203.81,212322605.61999997,353119801.67,111542199.03999999,903486.9300000002,471006.24,9818939.22,70162916.07,14559507.5,0.0,0.0,0.0,2329866.8800000004,4302232.230000001,560579.6200000001,140482.53,13986137.47,10541377.77,19977854.130000003,0.0
경상남도,합천군,  비율(%)  ,1.0,0.0034652349578357996,8.034170698894281e-05,0.00030846554402256415,0.002024756484122627,5.769087806859693e-08,0.0003698686984942287,0.0,0.0,0.0,0.030054189195320862,1.1973016669304245e-06,2.789613599135712e-05,0.00011730143865096347,0.0031680015747341094,0.04053564355633521,0.01760826987043659,0.013422568951711239,0.03922209552210025,0.0041268189684258395,0.005474098280837631,0.0017903674400876228,8.556969765054258e-05,0.21576673510710254,0.35884783198434206,0.1133515484290965,0.0009181425808561031,0.00047864653093867003,0.00997821429106895,0.07130104343723039,0.01479568032272895,0.0,0.0,0.0,0.002367660138984364,0.004372019640720767,0.0005696728995096072,0.00014276132656329063,0.014213009537297951,0.01071237166820659,0.020301919089061926,0.0
강원특별자치도,춘천시,  면적(㎡)  ,1115625099.4600003,3300157.21,957888.3200000002,480151.57,3921142.5999999996,0.0,978857.65,0.0,5300.200000000001,399912.12000000005,36152977.28,1450.5400000000002,68248.47,650215.7999999999,1167754.82,2019209.5900000003,12480092.51,2462273.33,45227385.28000001,5468344.53,4173684.3399999994,766716.6900000001,491944.35,469387207.4300001,258019820.4,83246773.27,3877185.3200000003,4101889.05,3485860.2,70966136.95,8788613.09,0.0,0.0,0.0,2379982.12,4630501.46,605607.87,337196.94,22917339.400000002,15718586.25,45988692.51,0.0
